date,agent_id,team,handle_time,first_call_resolution,calls_offered,calls_answered,answer_time,logged_time,productive_time,qa_score,csat_score,nps_score,compliance_pass,error_count,total_interactions
2024-01-01,A001,Team A,285,1,45,42,12,28800,21600,92,4.5,65,1,0,42
2024-01-01,A002,Team A,310,1,38,36,15,28800,20400,88,4.2,58,1,1,36
2024-01-01,A003,Team B,295,0,50,48,10,28800,22800,90,4.3,60,1,0,48
2024-01-01,A004,Team B,320,1,42,40,18,28800,19200,85,4.0,52,0,2,40
2024-01-02,A001,Team A,275,1,48,46,11,28800,22200,94,4.6,70,1,0,46
2024-01-02,A002,Team A,305,1,40,38,14,28800,21000,89,4.3,62,1,0,38
2024-01-02,A003,Team B,290,1,52,50,9,28800,23400,91,4.4,63,1,0,50
2024-01-02,A004,Team B,315,0,44,42,17,28800,19800,86,4.1,55,1,1,42
2024-01-03,A001,Team A,280,1,46,44,13,28800,21900,93,4.5,67,1,0,44
2024-01-03,A002,Team A,300,1,39,37,16,28800,20700,87,4.2,59,1,1,37
2024-01-03,A003,Team B,292,1,51,49,10,28800,23100,90,4.3,61,1,0,49
2024-01-03,A004,Team B,325,0,43,41,19,28800,19500,84,3.9,50,0,2,41
2024-01-04,A001,Team A,270,1,47,45,12,28800,22500,95,4.7,72,1,0,45
2024-01-04,A002,Team A,295,1,41,39,15,28800,21300,88,4.3,60,1,0,39
2024-01-04,A003,Team B,288,1,53,51,11,28800,23700,92,4.5,68,1,0,51
2024-01-04,A004,Team B,318,1,45,43,18,28800,20100,87,4.2,57,1,1,43
2024-01-05,A001,Team A,282,1,44,42,13,28800,21600,93,4.5,66,1,0,42
2024-01-05,A002,Team A,308,0,37,35,16,28800,20100,86,4.1,56,1,2,35
2024-01-05,A003,Team B,294,1,49,47,10,28800,22500,91,4.4,64,1,0,47
2024-01-05,A004,Team B,322,1,46,44,17,28800,19800,85,4.0,53,1,1,44
2024-01-08,A001,Team A,278,1,48,46,12,28800,22200,94,4.6,69,1,0,46
2024-01-08,A002,Team A,302,1,40,38,14,28800,20700,89,4.3,61,1,0,38
2024-01-08,A003,Team B,291,1,52,50,11,28800,23400,90,4.3,62,1,0,50
2024-01-08,A004,Team B,316,0,44,42,18,28800,19500,86,4.1,54,0,2,42
2024-01-09,A001,Team A,273,1,46,44,13,28800,21900,95,4.7,71,1,0,44
2024-01-09,A002,Team A,297,1,39,37,15,28800,20400,88,4.2,59,1,1,37
2024-01-09,A003,Team B,289,1,51,49,10,28800,23100,92,4.5,65,1,0,49
2024-01-09,A004,Team B,320,1,43,41,17,28800,20100,87,4.2,58,1,0,41
2024-01-10,A001,Team A,276,1,47,45,12,28800,22500,94,4.6,68,1,0,45
2024-01-10,A002,Team A,304,1,41,39,16,28800,21000,87,4.1,57,1,1,39
